filename,lat,lng,desc,yr
rio1.jpg,-22.91,-43.17,Cristo the redeemer,2025
rio2.jpg,-22.91,-43.18,Museum of The Future,2024
rio3.JPEG,-22.9,-43.19,Rio Carnival,2025
rio4.JPEG,-22.91,-43.23,Maracana Stadium,2025
brazil_SP_1.jpg,-23.55,-46.63,ðŸŽ­ Theatro Municipal de SÃ£o Paulo,2023
brazil_SP2.JPEG,-23.55,-46.69,Bateman Alley,2024
brazil_SP3.JPEG,-23.56,-46.7,Sao Paulo Carnival,2025
peru1.jpeg,-13.16,-72.55,Machu Puchu,2024
peru2.jpeg,-13.34,-72.57,Humantay Lake,2024
peru3.jpeg,-13.26,-72.26,Ollantaytambo,2024
peru4.jpeg,-14.69,-75.13,Nazca lines,2024
peru5.jpg,-13.87,-71.3,Rainbow mountain,2024
chile1.jpeg,-33.04,-71.61,ValparaÃ­so,2024
chile2.jpg,-33,-71.7,ValparaÃ­so,2024
chile3.jpg,-33.7,-70.33,CajÃ³n del Maipo,2024
moz1.JPG,-18.97,34.36,Gorongosa National Park,2025
MOZ2.JPEG,-18.89,34.79,Gorongosa National Park,2025
USA_sanfr1.jpg,37.81,-122.47,Golden gate bridge,2023
USA_sanfr2.jpg,37.76,-122.4,"San Francisco, California",2023
USA_sanfr3.jpg,37.8,-122.41,"ðŸŒº Lombard Street, San Francisco",2023
USA_sanfr4.jpg,37.8,-122.45,"San Francisco, California",2023
USA_sanfr5.jpg,37.78,-122.42,"San Francisco, California",2023
USA_wdc1.jpg,38.89,-77.05,Lincoln Memorial- Washington DC,2022
USA_wdc2.jpg,38.87,-77.1,Lincoln Memorial- Washington DC,2022
USA_wdc3.jpg,38.89,-77.01,US Capitol,2022
USA_wdc4.jpg,38.88,-77.03,US Capitol,2022
USA_wdc5.jpg,38.86,-77.05,US Capitol,2022
qatar1.jpg,25.29,51.53,Doha Corniche,2025
qatar2.jpg,25.36,51.52,Katara Cultural Village,2025
qatar3.jpg,25,51.5,Katara Cultural Village,2025
darjeeling1.jpg,27.03,88.26,Darjeeling,2024
darjeeling2.jpg,26.99,88.19,Lepchajagat Pine Forest,2024
darjeeling3.jpg,26.89,88.18,Mirik Lake,2024
gangtok1.jpg,27.34,88.6,Gangtok,2024
gangtok2.JPEG,27.4,88.71,Nathu la,2024
ladakh1.JPG,34.17,77.31,Sangam of Indus and Zanskar Rivers,2018
ladakh2.JPG,34.53,77.55,"Diskit, Nubra Valley",2018
ladakh3.JPG,34.93,76.79,Thang- northernmost village of India,2018
ladakh4.JPG,34.28,77.6,Khardung La,2018
ladakh5.JPG,34.63,77.54,Panamik,2018
ladakh6.JPG,34.16,77.58,Leh,2018
ladakh7.JPG,34.62,77.54,Sangam of Nubra and Shyok Rivers,2018
ladakh8.JPG,33.72,78.9,Pangong,2018
ladakh9.JPG,34.05,77.93,Chang La,2018
ladakh10.jpg,33.7,78.93,Pangong,2018
utk1.JPG,30.99,78.94,Gangotri,2022
utk2.jpg,30.98,78.85,Nelang Valley,2022
del1.jpg,28.65,77.24,Lal Qila,2022
guj1.jpg,23.58,72.13,Modhera Sun Tample,2024
guj2.jpg,23.02,72.59,"Jama Masjid, Ahmedabad",2017
guj3.jpg,23.87,73.38,Polo forest,2017
raj1.jpg,24.59,72.8,Nakki Lake,2015
raj2.jpg,24.59,72.7,Mount Abu,2015
wb1.jpg,22.58,88.34,Hoogly,2015
wb2.jpg,26.68,88.44,New Jalpaiguri,2025
wb3.jpg,22.54,88.34,Victoria Memorial,2012
goa1.jpg,15.45,73.8,Dona Paula,2024
goa2.jpg,15.5,73.91,Old Goa,2024
goa3.jpg,15.55,74,Old Goa,2016
ctc1.jpg,20.47,85.88,"Maritime Museum, Cuttack",2014
kjr1.jpg,21.45,86.7,Bhimkund,2014
kjr2.jpg,21.47,85.55,Gundicha Ghagi Waterfall,2015
puri1.jpg,19.81,85.83,Puri Sea Beach,2014
bls1.jpg,21.42,86.73,Panchalingeswar Temple,2025
